Round Number,Winner,Depth,Stake,Stake Density,Hash,Reward,MajorityReveal,ReserveCommitments
180291,0x806697c71c54b849bfcd3e66624509a7d1e56fdf55a615dd433d1ea75d11894d,8,100000000000000000,25600000000000000000,0x3a1f57fef6b7b697e21265a2a7da2ea046bd452b40fd0d06b4a5c269b576f600,116847081947136000,0x3a1f57fef6b7b697e21265a2a7da2ea046bd452b40fd0d06b4a5c269b576f600,[object Object]
180307,0x633b294c1dbda8cbbcd5139d41a4f9d9067e510c27041bb429396f81faf1653c,8,100000000000000000,25600000000000000000,0x6ac1d046bca73432e0e1d66203ff48831d8dfe6ac3884369ef9e6f5a3ee1cb70,64038887227392000,0x3a1f57fef6b7b697e21265a2a7da2ea046bd452b40fd0d06b4a5c269b576f600,[object Object]
180338,0x9f7aef35fcb2954a986d5007abcd3233e1065fe3fecb0c7450b7253981cf6c75,7,100000000000000000,12800000000000000000,0x2fba5ef611bcf4f4ffc9a4bcbffaad91eaa7f8215cf296841700b31789ab65e4,64880665165824000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180342,0x3255a8d66c4219693e5a8516d6b6ea037615d3366e6bae47f7477a2234b15847,8,100000000000000000,25600000000000000000,0xda9fc670034147948d65baa1e4770c6ccd961c33d4ed7a11d952820305151ae4,64031620595712000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180346,0x58e5ee964f0b677d64350e1adfa184122f0cbfb1455d471e217dac86edd5ac4f,8,100000000000000000,25600000000000000000,0x4263fa9dc2c1e81c6988da9679a5f956530075f90fbb47c0d7e9e947ecef66ca,64878903558144000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180347,0x673f55ce3ce4f0c761cb16f975421c736cd474cab0a38a0e0cdf48b3012c74e8,8,100000000000000000,25600000000000000000,0xd2a0e45661a0f50a9ff40647c3d948dbdb52457e1e0064563ad6a0084042b150,62799451521024000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180348,0x673f55ce3ce4f0c761cb16f975421c736cd474cab0a38a0e0cdf48b3012c74e8,8,200000000000000000,51200000000000000000,0x7dc48363752e5d037cbf6cbc6cda6ea607bf42e38ef8061b882e04337319a219,62384290922496000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180351,0xf1d676a9a5832696b4800de1cde48c21cefa6146e37856798f4420a2a3801532,8,100000000000000000,25600000000000000000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,64082254233600000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180357,0x45a20a8b221522d80ebc52086578f1071739a36c3e586672c7c90ca5d228d8e8,8,100000000000000000,25600000000000000000,0x693a5257017a484f73458555961f441d8d56a9198456c2352e5d364c9f0e7bad,61158086148096000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180358,0xf9bc006d0402990c52afa0928c8cd8ff2610349f42dfe9e0cc57388855303b57,8,100000000000000000,25600000000000000000,0x1690b8dddb7c68a1a27b91f64634e94aaa07c812ce37eeb7915928bde10d24fb,63658688249856000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
