Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
190530,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,96340851818496000,96340851818496000,0x17c4f2b36ea566889009f35df97a5b7f7aa5ccff1d46c94911c3123def4cbb87,[object Object]
190536,0x7e945c07a983ade8204383ccbd0a4594b26d937cc3ca3d72916b10531759231e,9,100000000000000000,51200000000000000000,0x52c88832966711389ae93054a95d1ce27145dc8e6ae9f34295a4b723ade21e0d,101336418877440000,197677270695936000,0x17c4f2b36ea566889009f35df97a5b7f7aa5ccff1d46c94911c3123def4cbb87,[object Object]
190537,0x052e782f8c1424a8e306a6afca0a606508b245d6244274f3bb9af669217eee2c,9,100000000000000000,51200000000000000000,0x7b3766d669c5e3a57716d29e1a888eec10a6fdbf79deba18086665a37f752658,90074221903872000,90074221903872000,0x17c4f2b36ea566889009f35df97a5b7f7aa5ccff1d46c94911c3123def4cbb87,[object Object]
190539,0xdf194a63752ee003876a5e568fb968000ca06a53f4c4a6c77f42048c73bbe6b7,9,100000000000000000,51200000000000000000,0x07c693e2c2e937d45c85eebcd219b87a6176471df9ef8a7f72d0987dc607c15c,96954891632640000,96954891632640000,0x6f86082b727c410d6ca44e02debb92553cc6d80b8335e9369fb1578c60e64e8d,[object Object]
190544,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,93838639104000000,93838639104000000,0x76e5abd0eff89bd9c412a011fed7dd50ab95abdbe9328f6ef07dd3ccefb785c1,[object Object]
190547,0x52c908beaeef7eb65de92264de36230e9defa420aa7b9285fa81f3c3b37ef086,9,100000000000000000,51200000000000000000,0x41cb7e2967d4caec56e94dfbf869dbb7fb010e05806e6203d4d9a6d65aba7e0d,95707229847552000,189545868951552000,0x76e5abd0eff89bd9c412a011fed7dd50ab95abdbe9328f6ef07dd3ccefb785c1,[object Object]
190548,0xe01cffa7c64360dd4938dbe6ca8d7c7763a84b20076f704b126b997bd17fa6d2,9,100000000000000000,51200000000000000000,0xcd06463172a8445d122ab207db11cddea00ca1be538b27c93226462c4e2d9bb8,93830617497600000,93830617497600000,0x76e5abd0eff89bd9c412a011fed7dd50ab95abdbe9328f6ef07dd3ccefb785c1,[object Object]
190550,0xe71351dec1a7f75ad88bd633d58d9267f2f7349c120e27936d90ca9a06b1408f,9,100000000000000000,51200000000000000000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,94454896656384000,94454896656384000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190551,0x0623944c4b4553d867ee2ddb5cd825cb31101fac45b4c1782e350b86273fbade,9,100000000000000000,51200000000000000000,0xea9676ce25225450ce9eae18ada969333510ec535f862dd805e17d2f24cf47bb,94452354908160000,94452354908160000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190552,0x14f00ea3e71d13c12a3955847d732ef831994f712957c166846a97c2711567bb,9,100000000000000000,51200000000000000000,0xe0590777e4877ed21723f45bfdfd4de7f0e51955a93603ca2cbdbf1f1abadd0f,95077867192320000,95077867192320000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190557,0x24096edec053a1f979410f3cbc485d0e990e750fc134b31d2c6c567ed6aca318,9,100000000000000000,51200000000000000000,0x35cee8ef06fd21a6873d0718d29602782dec904bc68c79a3d8803630c2d2ea24,190792797782016000,190792797782016000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190559,0xbc89694fb326be0c0f2390ef9f8858c233d247f168197636ac6565c085564c7d,9,100000000000000000,51200000000000000000,0xa574ca281abfbad7c34844e8bb829a790224e2597a00a21c58da30c325078494,93214114578432000,93214114578432000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190561,0x540308977f367f6cbd3a14ee7157d7aa4bce6e022e03916caff30670573b187f,9,100000000000000000,51200000000000000000,0xce86363730d50f9aba8cda142d31563fa7c6dc852f37aa36f9504e7f0b524c33,192062872879104000,192062872879104000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190568,0x5eabc1b013b646b0486b45429455bfc4d9120aa5651dfe8554e64d557237b5ab,9,1000000000000000000,512000000000000000000,0xff974e618b0730e0f2f7461fe01485461cc7eee04bc98367d08b17313d165693,96332767297536000,96332767297536000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190571,0x1a2c2ba833a4ef0d3986fa15bdeb9d282924ee44f6a5a08e4b2cddcac24dbd48,9,100000000000000000,51200000000000000000,0xfd41f79e6f201783dc880746f407de700a68b6ea3740e64c0b73ffcb6003fc4d,95081692397568000,95081692397568000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190572,0x8c9e42528815097a4a841ed47c21ab946d3b9247ef9260ef02c12e844bf4a1f9,9,100000000000000000,51200000000000000000,0x5bac0f2fda14616fea3de7a22898bef8122dd6678459f11b03ff11b596639d8a,93205080047616000,93205080047616000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190579,0x9349d286732c82e52e8d2f956ec1ddd2a38c3b1d177bc46c0cc7f8e0a05242bd,9,100000000000000000,51200000000000000000,0xd7a74cb307f445024584548fd7e59fe44b0c2fb658ff87bcda898ef116858d12,95707229847552000,95707229847552000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
190582,0x341f13c0eadcbbbf7173871f64cf14e67ef98584275c83dd36036e012f0ded81,9,100000000000000000,51200000000000000000,0x55b75a15d0168c93a3df3f97d4cd28973e6462d1f0500c9826833b528dd71d74,93205080047616000,93205080047616000,0x12aa666d4e8a725b585bdfff94f8cf901eaff15e836e47ea3d72c690d4cc224c,[object Object]
