Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
198632,0xb8a58c7dc7d39347ce226a42889fc4a3664d0eca2e4d73725886ac7ad2251bce,10,110000000000000000,112640000000000000000,0x7968791c74611b8c0fa871e09abd57b5bb2eeff297a2d67d4f1b6653219b3da4,400478699520000000,400478699520000000,0x7968791c74611b8c0fa871e09abd57b5bb2eeff297a2d67d4f1b6653219b3da4,[object Object]
198634,0xe32ebff633d4d2563d0978c6175abc3a42e8fe8f49c484e0501c1be2ee352cdc,10,100000000000000000,102400000000000000000,0xa03861036c372df823c0a091d62803193f6ee760f6fe2a06df92c73172963fbe,395138983526400000,395138983526400000,0x7968791c74611b8c0fa871e09abd57b5bb2eeff297a2d67d4f1b6653219b3da4,[object Object]
198636,0xc0f96392820dd2f88f0e89e2a0ad4af79c989f8a1b7bb7085786085675b5e8da,10,110000000000000000,112640000000000000000,0x24255fce6a2c184cba25159e22a1cc15026a54b06511e83714b8b8fe99595f58,403158724509696000,403158724509696000,0x24255fce6a2c184cba25159e22a1cc15026a54b06511e83714b8b8fe99595f58,[object Object]
198644,0x0575cd23716eace6d140020767024c10ae6601b1bf44cc279e977f030531a61b,10,100000000000000000,102400000000000000000,0xf9166361b905885c1ecabb305b81c37ebcc51da8f5904acbd0c6d1b8d49f5683,408472872026112000,408472872026112000,0x24255fce6a2c184cba25159e22a1cc15026a54b06511e83714b8b8fe99595f58,[object Object]
198649,0x88f4ddabd793e4e6d9697204b08c660c36a3989fa41f93bb6052206d30cd3b60,10,110000000000000000,112640000000000000000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,400468532527104000,400468532527104000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198651,0xaf4ac08a6c7eda9742a42bd4d963f6f44bcfe48bb1c77058a27eb119fcea1ec6,10,110000000000000000,112640000000000000000,0x796fc48422a338efc9d0267879f42cceaea59dd2c6e6d438efc7e59d45248d0b,405420100288512000,405420100288512000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198711,0xc74482a47745af4c3d475c1bd12f58b0a4b008ed297a9b5395859e33d580718c,10,110000000000000000,112640000000000000000,0x18bf07f1638c7cd2185ca415b5acad90b48c524ca83a82a45d6451af12860388,456340656881664000,456340656881664000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198713,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,468673131184128000,468673131184128000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198736,0x808e7104ca22f198ea60209dfceb4fd23c09062481221190e916ac01fef666bf,10,110000000000000000,112640000000000000000,0xbb6b1ecc2cfe4a6d52afa048471ba034eb5cb5a2a052359b98afd94e0e4cbe13,468352870907904000,937026002092032000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198750,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,462177095909376000,462177095909376000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198758,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,474503605911552000,936680701820928000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
198771,0x7facc03d2a636a57169475a7da354cea830b41b220282fddcb2dbebda611c982,10,100000000000000000,102400000000000000000,0xf732535852be74f6ec5e3d3cbf29f02f7bb68cf9f8b9c6dcd0f705b21879414a,474510111277056000,1411190813097984000,0xa3f1786bb777dc23ddb5ecd918ed80d02dddd2ad90e6dba72640453cd54c6222,[object Object]
