Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
180350,0x19e6bb3c75ba9482f35c188103275f2d452e580c316fef75b0d464ce0070f26e,8,100000000000000000,25600000000000000000,0x0eff5726204f521969c7cf47c87df0aa032182a452031adfa95efb5937c5daa2,62825548480512000,62825548480512000,0xeeb5e90ec67ce713c9cacdaeb14eb1aa529bdfdea9e8d4e62d1110d313aad3c9,[object Object]
180462,0x81c462e266983d79521b81bb6486c4a4cc81140878a6457967b81da3ab2630d4,8,100000000000000000,25600000000000000000,0x7cab89f84ee8caf2beaa78e739905fe16cf2a853e32cdc131ab2f08db6666caf,62817872904192000,62817872904192000,0x5698769b65f04f85840d39b47b155d5608ea295326f6b2e585e6bce8a2e6f442,[object Object]
180499,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,61562953924608000,61562953924608000,0x13f5b02b23772b6ae2654ed94bbe00a9c2353eed6b84da94f0478d72e14eced7,[object Object]
180515,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63642783449088000,125205737373696000,0x2e6bd0944c67ca9f624c890e6ed7a668b9fb24c20ae9b6f492811f5ce4d8e9e4,[object Object]
180547,0x043aacc85a2601ec20993dca7d6a50f2ffa76ae80a801512ba618f5d8b0fce45,8,100000000000000000,25600000000000000000,0x9990be41c7baba88dc8ea43a66f6fa2b08c4d0109ec8b9c957e8b988de24251c,64069771984896000,189275509358592000,0x9990be41c7baba88dc8ea43a66f6fa2b08c4d0109ec8b9c957e8b988de24251c,[object Object]
180702,0x25147171259936df055babcd6323cc13d71d7d50fc43f4f39bf6c0f11447236b,8,100000000000000000,25600000000000000000,0xe719d9696c8b5425fbfa1efa841e5355164ecc64d3d12e648695b141ba62b176,63634601410560000,63634601410560000,0xe719d9696c8b5425fbfa1efa841e5355164ecc64d3d12e648695b141ba62b176,[object Object]
180930,0x6f52dac183bfcc5950a635095637f86b158d597c23e22587591da4a789bf2837,8,100000000000000000,25600000000000000000,0xf17b758e1f5639f1b522432c34fc2eb547dc47ae8b9689a61a996ae6a8433f84,63623366967296000,63623366967296000,0xf17b758e1f5639f1b522432c34fc2eb547dc47ae8b9689a61a996ae6a8433f84,[object Object]
180958,0x6a677db045596a31e3ebb353b4e35e4bccd9058b47f76dbfada5c0c835084b58,8,100000000000000000,25600000000000000000,0xf1c4031c0c7191e0a2e5220a053eb2f30c99a21662fe496a0e18c2f3cc1fa0e5,63635312345088000,63635312345088000,0xf1c4031c0c7191e0a2e5220a053eb2f30c99a21662fe496a0e18c2f3cc1fa0e5,[object Object]
181002,0x00bac24893c33fab3d04e31b071aecfaefab40c8cf3bd801d6f3e4d9803825ab,8,100000000000000000,25600000000000000000,0xe468ba01068624cfe7a6c856c4ad26686e7d2b527efc5b9a86d3c6164d7b4f1f,316883104432128000,316883104432128000,0xe468ba01068624cfe7a6c856c4ad26686e7d2b527efc5b9a86d3c6164d7b4f1f,[object Object]
181047,0xda1a7ea7c62359af8e3349d5132a83af806bce0c0c15c0ea5089399115bf3188,8,100000000000000000,25600000000000000000,0x7ffecba78130d05e6e97d25a399dc834e88a37ee4fbd4f554962cddfd54e0bf9,63596578996224000,63596578996224000,0x7ffecba78130d05e6e97d25a399dc834e88a37ee4fbd4f554962cddfd54e0bf9,[object Object]
