Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
201861,0xcd982eb3a9c4d5fdd44b871bf1641e530fd73b821ff3deb64299dd58fab63a01,10,150000000000000000,153600000000000000000,0xeb40ec6f9c3fccaa33b7c313241114b91d759f2b131c37ff99091f0473e3bb3c,465504354435072000,465504354435072000,0xbccfd54e01efb7fc84e7d571387a66b0a346d9cb7c394293c5cab508cc01e7ac,[object Object]
201867,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,471669975023616000,471669975023616000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201871,0x90f5748fb0fdca580ec36712ad9ad7d9a48205bfe90fad66bdfb5cbfa98eff6d,10,100000000000000000,102400000000000000000,0xe3aa58b9fa774f88d4fd0ee554ea40dd8b7dd4e31fa8fbb7a968dd6324ef53f6,462421544140800000,934091519164416000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201873,0xd8edcb4818af39b3e2812f1b7af13437e110780b66d0a1b6bff336b5fe1c5623,10,100000000000000000,102400000000000000000,0x62aa67c75ccb7c6a02d1712c21a0467787aafb2ea5e96bf359ddc2bd77e29c5d,468587164729344000,468587164729344000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201882,0x094bb8ca0a82b33216ffaf75a6ee47029d629599e10705c4239949e07031118b,10,150000000000000000,153600000000000000000,0x1a00da531a78ec8f634bf5ad5c2bec39261a939e861cdc6af270e93e24f48b96,474752300875776000,474752300875776000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201884,0xf488499fdca6fe3c48db99497c14f800b31343d572db9645695b24cce991ba28,10,210000000000000000,215040000000000000000,0x0c3b0083766b9ef62a92ea633e3d72361a27f86036491c542618e53b3bec7636,468586686578688000,468586686578688000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201885,0xdef914e704a8d7d6c4a78f169ac4c3a4eb507bc8e714520fd08250b404c0d41d,10,100000000000000000,102400000000000000000,0xd9f684e265be0082d74df643bbf8f0f714b4c354645fc45e144bca42fa718289,465503879430144000,465503879430144000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201895,0xb27ee0b43784b60db7f152f71a85e5c5ee3b34b714e72a0ac5bdf4470d19e8ea,10,150000000000000000,153600000000000000000,0x801653a51cd255546c98368bad7c26442955d98018ca0175d0f212f325a686ca,453172650835968000,453172650835968000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201896,0xa0bd40d1efbb4ab2153d0fcc5fd01d19db1ecc696e329f30806f47070e9524f1,10,110000000000000000,112640000000000000000,0xa1cb9a2dcbe2d1634f399633466d61a07ad527efa1f54cfecc4d7a9aa3a5675a,471669493727232000,471669493727232000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
201899,0xc8a5c5408412a354a1b3cd33eeeacf0c1a53d7c19900324a3ec5035b3c6e8f48,10,101000000000000000,103424000000000000000,0x75fdc9ff0f0fbdec2a2cf82c7eee4ec352d974b21631b4d68ab9737a1bcb43cf,459337796419584000,459337796419584000,0x5ffdf71b31e3603f616149ee18433caca18b27d8f49b5287c363e9a5d73d43ed,[object Object]
