Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
182775,0xc79adbe273d357f41216b8bcb101ccdaaeedcaa3511e3c3169d7d893d6a2b78d,8,100000000000000000,25600000000000000000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,62348310085632000,62348310085632000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182777,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,126775955816448000,126775955816448000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182782,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63588396957696000,190364352774144000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182786,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,62757176082432000,253121528856576000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182792,0x470c1bd5bf65d358c345c12089db59176196b11a5881579cb896d9d7fd03db02,8,100000000000000000,25600000000000000000,0xe6c5a894557539b7e3006cdd9b0a105bcf5654686f37ff24261992dc79714a85,250623789367296000,503745318223872000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182795,0xdc7da78813976cbca0b1de5a79dadc0e34daae129db316eada42075658a2f1a9,8,100000000000000000,25600000000000000000,0x9636e5abd937fa67dad8b0117d20e78cac2d56e3ed973c4943a618622c9f8bef,62350549843968000,62350549843968000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182796,0x76f7f71fe6a0e5f5ff6d59a024c68dd611a9b07ae6ee55d82cd3548954697ccb,8,100000000000000000,25600000000000000000,0x620bd601e261bc7c2a2443375c907c0e36092767e1c43a3000ce0f1f2b18e236,64434113347584000,64434113347584000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182798,0x648c357c110a930de908374a22407aa927f8de7916312e830925dc9c4847317a,8,100000000000000000,25600000000000000000,0x6b77fea5873c979aeb956e5f480377b7f329849f24f028ef04109bf99aafebab,66095439413248000,66095439413248000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182800,0x9dbf6c8e9047bb60f80cac34c4f0fae7d12413c406a4873eef871b94da06b35b,8,100000000000000000,25600000000000000000,0xbfece5891a87b179e034414cb3e9ae5247eb62939383ed9a725479a7aa197483,64847005876224000,64847005876224000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
182801,0x02371255a242d82f0e59112d6cbadd49d6ddbf38a9908bbe6ba225ab91ab9e8d,8,100000000000000000,25600000000000000000,0x2cc0f6147514d0e1cf94161f31494ae1bcb0ada2dc2a776f63551c169ab86277,61937204330496000,61937204330496000,0x34476432927180d296654e45d4ac618418255006acfd895f5fd9b22f1901dac3,[object Object]
