Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
180350,0x19ba153ab0dad62f203e8a1b9b28848f4869f0e213c473087d301d1d7140e364,8,100000000000000000,25600000000000000000,0xeeb5e90ec67ce713c9cacdaeb14eb1aa529bdfdea9e8d4e62d1110d313aad3c9,62825548480512000,62825548480512000,0xeeb5e90ec67ce713c9cacdaeb14eb1aa529bdfdea9e8d4e62d1110d313aad3c9,[object Object]
180462,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,62817872904192000,62817872904192000,0x5698769b65f04f85840d39b47b155d5608ea295326f6b2e585e6bce8a2e6f442,[object Object]
180499,0xc60181d3705be0ad4cd56f988a9670b109212681835e9cdda8c86de6b3fe5e52,8,100000000000000000,25600000000000000000,0x9e74351420eebf7627c30a1bbf3031fc9dd5989bb85dc021d0e996df0665f419,61562953924608000,124380826828800000,0x13f5b02b23772b6ae2654ed94bbe00a9c2353eed6b84da94f0478d72e14eced7,[object Object]
180515,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63642783449088000,63642783449088000,0x2e6bd0944c67ca9f624c890e6ed7a668b9fb24c20ae9b6f492811f5ce4d8e9e4,[object Object]
180547,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,64069771984896000,127712555433984000,0x9990be41c7baba88dc8ea43a66f6fa2b08c4d0109ec8b9c957e8b988de24251c,[object Object]
180702,0x254400cc3624c502050eeffc8d199cf0dd6ed1e7440ff263a1604c91257a223a,8,100000000000000000,25600000000000000000,0xe719d9696c8b5425fbfa1efa841e5355164ecc64d3d12e648695b141ba62b176,63634601410560000,191347156844544000,0xe719d9696c8b5425fbfa1efa841e5355164ecc64d3d12e648695b141ba62b176,[object Object]
180930,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63623366967296000,63623366967296000,0xf17b758e1f5639f1b522432c34fc2eb547dc47ae8b9689a61a996ae6a8433f84,[object Object]
180958,0x6a677db045596a31e3ebb353b4e35e4bccd9058b47f76dbfada5c0c835084b58,8,100000000000000000,25600000000000000000,0xf1c4031c0c7191e0a2e5220a053eb2f30c99a21662fe496a0e18c2f3cc1fa0e5,63635312345088000,127258679312384000,0xf1c4031c0c7191e0a2e5220a053eb2f30c99a21662fe496a0e18c2f3cc1fa0e5,[object Object]
181002,0x007236683d69dd5ea8d694a54fbe36ccf474d200a3960ee353ac3ac67003e37e,8,100000000000000000,25600000000000000000,0xe468ba01068624cfe7a6c856c4ad26686e7d2b527efc5b9a86d3c6164d7b4f1f,316883104432128000,316883104432128000,0xe468ba01068624cfe7a6c856c4ad26686e7d2b527efc5b9a86d3c6164d7b4f1f,[object Object]
181047,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,0,0,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63596578996224000,63596578996224000,0x7ffecba78130d05e6e97d25a399dc834e88a37ee4fbd4f554962cddfd54e0bf9,[object Object]
