Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
191999,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,51200000000000000000,51200000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,128027876917248000,128027876917248000,0x6555b296f587c183c0f9f7c3cea4785b1ba98ef6c8f17c862ee24b88d90f8d56,[object Object]
192001,0x97cd48ed7f7a365bbe47709189e426b7fc8f616cec7a867a712392f8cfc83478,9,100000000000000000,51200000000000000000,0x5e04b2d4467dc035544c30e97a35bf36262be4269e2c5d7cfaa4e7e8531849da,129690576617472000,257718453534720000,0x5e04b2d4467dc035544c30e97a35bf36262be4269e2c5d7cfaa4e7e8531849da,[object Object]
192002,0xad3397151e8fa5b0e94baf4aff3b553e2972e64abb56d9f02fef3ce9158a72c0,9,100000000000000000,51200000000000000000,0x6104d5dab1712c082d4f15f3ffeae2dfb12fe4a2faf0ee821c189ce0ba88535f,124702477516800000,124702477516800000,0x6104d5dab1712c082d4f15f3ffeae2dfb12fe4a2faf0ee821c189ce0ba88535f,[object Object]
192003,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,102400000000000000000,102400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,126365177217024000,126365177217024000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192005,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,102400000000000000000,102400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,127198464835584000,253563642052608000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192007,0x757b9a37f4fb00468be81429584838fbf369980267878745ee62cc795501913c,9,100000000000000000,51200000000000000000,0x649a07a5e9216db7ef69872b9ea8e50fa9a4329ff960eb96999cdcd6c577f007,128863127470080000,382426769522688000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192012,0x740c329ac62848404c68a72870bef5b18f9950f329e5fae3cbf29de30314cecf,9,100000000000000000,51200000000000000000,0x9b909469778af05cdf079a21911c25a94cd0ace8f45a568a2005c06b58fb9955,128027876917248000,128027876917248000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192013,0x262a46e7e183512510d45566c9589e59f7a41110f15940e3a27cb386ed6f6445,9,100000000000000000,51200000000000000000,0x9efcc75f2ac6aaae16e53474cd7b46f5a27937085298f87205016af03dd51879,124702477516800000,124702477516800000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192014,0xec58c858c89ff053e6120ceefd859c77e01fb8faec3079dcb973dbaee1829019,9,100000000000000000,51200000000000000000,0xdb1d0b30f4169a64515aca1a6f9c44f4b0fb5da65a2d3cb7d9e14ee19171c5e2,129690576617472000,129690576617472000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192017,0x971a7359979cc8aec15bb88be227c54509c88aef5f5f19d4e391be0a7c5e9138,9,100000000000000000,51200000000000000000,0xf35e5bf095aeffba63eb254e79c0fa7e50879aada35b3af6ff76ee7798c0b6f3,123039777816576000,123039777816576000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192018,0x02072ca33662f06e2d3909e853ed6c16ff59533c103962908891710930b4e2d2,9,100000000000000000,51200000000000000000,0x12bff7fbd68792cc105bffee62b4829a62830f16c70caa1beba266acbe3c3764,129690576617472000,129690576617472000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192020,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,153600000000000000000,153600000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,125537627406336000,125537627406336000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192023,0xae7ed75c02aa6903b5e7d9e0b30e1c2efdf2dca3dc44e6e584fff75706b95245,9,100000000000000000,51200000000000000000,0x62d0344c8d7aa72bea3d82a56607979e6967cf2ffc86a8fe53739a17b5f28ad8,251901168844800000,377438796251136000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192024,0xe82480331fbf9c82ea066990c503a1e5c868b57535287ef2d343e521d3444e4a,9,100000000000000000,51200000000000000000,0xc8ba9019d5c132ad341c0da7dbe189cf25f3ad1f33cdfb64f8ff55df8c3b63ed,128859226767360000,128859226767360000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192025,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,102400000000000000000,102400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,123039777816576000,123039777816576000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192030,0x083d528cdca9a82dfb2995360b463e288e61cb12f17fbf491b64cfa084de18bf,9,100000000000000000,51200000000000000000,0xbb5f1a8302a19c5739ed6350e6fce964b4fc6b2e3fff803c6387b8dbd9ef4797,123871127666688000,246910905483264000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192031,0x23b276d7724799d619b0fc4d82cfd8d5ef2ac683548ee696cfcb7607ffc7d294,9,100000000000000000,51200000000000000000,0xcffc64b623fb954ac8d5da9a878ea4e35ebe83539318e668f879dbb6b03f660b,126365177217024000,126365177217024000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192033,0x04eff9d27753c19f7874cb1751b179d71af8d3293b3c1be741ba4f08cf66d63e,9,100000000000000000,51200000000000000000,0x759f72fbbd4e2062a96b2022ad2dfa19e8fef5ef0bd449901ff05b65910a2bd6,124702754340864000,124702754340864000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192036,0x02ab9be90b3dbd6b85eec6db88d8fee05503f9c1d8b12e418a7f0ed61695e154,9,100000000000000000,51200000000000000000,0xe3a40056cddcd67fb29956daa35df87f8d6505b472909919093dc1b98b8956db,128862120837120000,128862120837120000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192038,0xa0e88d373798e494af679546126529f30b776a6608a9e3a06fbc2d7cb807c5d8,9,100000000000000000,51200000000000000000,0xf7492437ea94bdfb39099fcc4ecfb4af72d0ae2d82006185d2f6a5f6d0cce101,126369002422272000,126369002422272000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192044,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,102400000000000000000,102400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,126365177217024000,126365177217024000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192047,0x65d17cad22389aa7c9562ce8d4fa207cc2b2fb2f369cb6eed960214076dd004e,9,100000000000000000,51200000000000000000,0xc1ac7ef090dd2860da3223322d4176fb0174bcf0d8cbfec400325768e305af64,124702477516800000,251067654733824000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192048,0x20a8df48fecf7e2a5e892436eef54912ede2d962203146bd87148ab147a02892,9,100000000000000000,51200000000000000000,0xc33a28edd2ebdc00ced17ac9f91df6ab861bbe17742d4829c86af4650492fd4d,127196527067136000,127196527067136000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192050,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,51200000000000000000,51200000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,125533827366912000,125533827366912000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192051,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,112640000000000000000,112640000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,130523914567680000,256057741934592000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
192056,0x24dd3675223b4d90358a629202dcbc9b45ad8d8304c6833d2becf4685f351aef,9,100000000000000000,51200000000000000000,0x8228b571f0e25cace8b8fd3171709dbcdabb657a3910f2095f9a9e6b4ce67db2,123871127666688000,379928869601280000,0x151259cf49b38f45a4616fbe739bae5396ded23e7218d66fe35d622934174088,[object Object]
