Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
181423,0x5b8107a9e956b8da67b687d08c82f3a1543a66140bdd17f3cf77841931053fd9,8,100000000000000000,25600000000000000000,0x872c9d604cdbc0403cf010be2af1c694ad657572a263fe3d59c7c491020c2da2,63999056019456000,63999056019456000,0x872c9d604cdbc0403cf010be2af1c694ad657572a263fe3d59c7c491020c2da2,[object Object]
181425,0xdfc8df0e3a2f5831a294f1e96d379be539d6cbc74fb1cd0aa22f68404ce60412,8,100000000000000000,25600000000000000000,0x7c700f507c6c03259f2bfedb8189149a3b94d3b3b890271104c9c9a65b1d31e6,62751951028224000,62751951028224000,0x7c700f507c6c03259f2bfedb8189149a3b94d3b3b890271104c9c9a65b1d31e6,[object Object]
181429,0x495059118ab7b0435074a0ab728c2da7d80177c3e65462a91b77e0c2431cd4dc,8,100000000000000000,25600000000000000000,0x805279d8cc1d5017b924f45192fda178659a6021552510c9e53288ca5fd42e21,62751951028224000,62751951028224000,0x7c700f507c6c03259f2bfedb8189149a3b94d3b3b890271104c9c9a65b1d31e6,[object Object]
181435,0xdfc8df0e3a2f5831a294f1e96d379be539d6cbc74fb1cd0aa22f68404ce60412,8,200000000000000000,51200000000000000000,0xb835c5a0c271b3694181afbae21a00f4d843092ed7346b0d4f7b473583f64f17,125900190384128000,125900190384128000,0x7c700f507c6c03259f2bfedb8189149a3b94d3b3b890271104c9c9a65b1d31e6,[object Object]
181437,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,51200000000000000000,51200000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,62743973462016000,62743973462016000,0x7c700f507c6c03259f2bfedb8189149a3b94d3b3b890271104c9c9a65b1d31e6,[object Object]
181439,0x0af5393826bd5aff9e3e43a0f98418b1fe4788b993b481ff29c76dc0dad3a91f,8,100000000000000000,25600000000000000000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,62744350949376000,125488324411392000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181441,0x65da547abc7d18f0ab6638c1f50940561511b30eb3810093711776dbd4a56e5d,8,100000000000000000,25600000000000000000,0x6fa7607318753c9a279ab9b352b4f18d7d3c2dbe81e4742a94a536d3dac205bd,63575401955328000,63575401955328000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181442,0xc0e99f5e148148b377418261112fa071748f01f0f0274c16ceec2648ff3eb461,8,100000000000000000,25600000000000000000,0xa5fed405de59ec020d98e476b73a829420d53645c4a8160d3c79e63261c0aa93,62744350949376000,62744350949376000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181447,0x0e47a96aa60c355cb791926a631527cde092b4cd1dbf9a0b63ff3aac92909c0f,8,100000000000000000,25600000000000000000,0x05c2eac36144862dff53bfd6773da31a72194aaafe07a10900aa0ec66eff9bdb,63577113231360000,63577113231360000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181450,0x235414e8a6aa91fba07601d3abe60a2863e5088386c72d8aa751fe5320d6502a,8,100000000000000000,25600000000000000000,0x46f80030dc68db4e079a0944b5df6364a1151b88e2011472dac471be9de5c027,189884140617728000,189884140617728000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181451,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,6400000000000000000,6400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63151454289920000,63151454289920000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181452,0x03daf9570853927852ba4680c2778d8266f142e6552c4c0678fa1b194ab24caa,8,100000000000000000,25600000000000000000,0xba3336d2bc06ef652553e84b449f52a67c8ecfc83b7076b36bf2baf730dec44c,61898301112320000,125049755402240000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181457,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,25600000000000000000,25600000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,189404526149632000,189404526149632000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181461,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,102400000000000000000,102400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,62304565592064000,251709091741696000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181462,0xd35119cea2f8e19161d7e221aa6ad95c5f156c375fd16c17e1a577d9cbe9469b,8,100000000000000000,25600000000000000000,0xc7b79d3df6f4e4f8e1542dbec216d229d2e40f7c3cbeb691d3a8c81a98287a8c,63967246417920000,315676338159616000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181465,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,51200000000000000000,51200000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63143568998400000,63143568998400000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181467,0xca7c722de708cd190062304103a45580b1903f2ebea6d9530c11b91197d38bad,8,100000000000000000,25600000000000000000,0xe199acf3031db37270b893904ebd34dff997ed70662391011144fe13cb615ef8,61490325356544000,124633894354944000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181468,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,32000000000000000000,32000000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63983176384512000,63983176384512000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181472,0x00bac24893c33fab3d04e31b071aecfaefab40c8cf3bd801d6f3e4d9803825ab,8,100000000000000000,25600000000000000000,0x3b0ea78d403aa88f6ce2b3a90e8582245d76a66ef56b1a313b2f640c609b40c3,63152226041856000,127135402426368000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181475,0x91c8f6dee5d452904e40b913530ab2eeed84857380ffd636c2110228eff35a41,8,100000000000000000,25600000000000000000,0x353d7e9eb38f5e4ca224fda19b29dc7c38c47e092408bdfadc5941e5a2be6ddd,62734200733696000,62734200733696000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181478,0xfa12d5764e2ddac52c4f81cef5e48e7e3e34f9cb1ac392a4a0d81f44ebd953fa,8,100000000000000000,25600000000000000000,0xb5bc2dfa02d1e8b978ce8cec840e8e5907e77b43b9e1a1f4a1ad436b6b872399,190257731469312000,190257731469312000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181481,0x4f93e9f29c68093d11f6f0b7af0803f6c918e4651b3f8a50e7953d3ab2c76950,9,100000000000000000,51200000000000000000,0x9690306b83f96a37ceb0276299f1d97afeb89007282617d067fdd505f43b5b5d,62729150791680000,62729150791680000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181484,0xe6eaf4e51c44a4dba2e1667a66345faebb7ff076ae6fff30235a43011ab26153,8,100000000000000000,25600000000000000000,0x52180585b2a165d02fcf3a74312396c0e86c0d9523ed1f1e2aff8c9847f53776,63560000471040000,63560000471040000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181488,0xa0547e273a685b62662b3d549f83e85e7a308969f9b50ed816d2c32f67aa30e6,8,100000000000000000,25600000000000000000,0xcead065d0703039edf213aaa7a6521f96ac3256478af507f69ec3b157c160f70,62729150791680000,62729150791680000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181491,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,102400000000000000000,102400000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,63965560307712000,63965560307712000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181500,0x8123c34a9d455cdedb9f402e87980922a601688619488f781c87276b7d1f9e1d,8,100000000000000000,25600000000000000000,0xee1cc9c83baed8de35989a7238292bfd70409b8c1f067aa455e0a70033cb11e4,63125449605120000,127091009912832000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181503,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,128000000000000000000,128000000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,62710150594560000,62710150594560000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181505,0x2b5f2d1b7987abd996e697698ef470ce5d76c939e7c4f9df45d6d0c4f28f164f,8,100000000000000000,25600000000000000000,0xdbab09e6acbce7675637e13321207125d2cf68ad9de8bb32ce06ab620dc5e491,62711283056640000,125421433651200000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181510,0x11f028d16945b70ff6a677363ae13d05a073746ede3047a0e2fc0514cad0d021,8,100000000000000000,25600000000000000000,0x4bf9624e22183c65b7184ba20bdf1eb7df43078ead924ee781e37ee0a003234b,253779798654976000,253779798654976000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181511,0x71d2545a936099dae4c7e39133c84bba832d28cf69aead79656c614efc637fa9,8,100000000000000000,25600000000000000000,0xf39894f3949008a4d61b9424954cc3c49be22528333e4b918d82d1ebc015054f,62713950633984000,62713950633984000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181514,0xa251f38f99c4ae2a2f9ef03dfb1a92d4f3f37e6b65e14eba83fb86b9a4dba3c6,8,100000000000000000,25600000000000000000,0x307569d96dba97b501015dad87d438a44ac23628b72fb493802a5a515847d224,63959923163136000,63959923163136000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181515,0x720ceecafdfb2a5982cfa7d866ddf0c9f393622ccf1060d004ab38e7079a2913,8,100000000000000000,25600000000000000000,0x6818aac19317b45d814c8e24a0dca68bc229fa6c0fde14eaa8f54bafe1831531,62713950633984000,62713950633984000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181517,0x371bb71d512e035c66c8340e43b0c9cd53d61fedc0b101e1b6ef72007561f0be,8,100000000000000000,25600000000000000000,0x45186416ed4cb7e08ea0ca9fb31c7a4a130b5d44c02e53ed68e3e218528b346f,63544598986752000,63544598986752000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181519,0x7b38ff4f2281a417797a91cf7bfad1772be7f34c48fc001a0c4c0f07091f13be,8,100000000000000000,25600000000000000000,0xe200febbeb110832c7c7d4081279acb0ddd257c821b5fa92867fae06b1da0f16,62716291055616000,62716291055616000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181520,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,52800000000000000000,52800000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,64381110976512000,64381110976512000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181523,0x923366701273bc72aa4c181094d4273dc9083014b562621b74d43facae0d06a6,8,100000000000000000,25600000000000000000,0xf7302ece0135e9c8d3098c19dbf5ce9bbf70b97917eac4ba042ddb0ca533bb21,63547518222336000,127928629198848000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181524,0xb302857eca2e0e567135fd5acc42abd8d9a0916a4fc4a7f41abab300cd2a2337,8,100000000000000000,25600000000000000000,0xa639020e7c8688a3d31776c1012a6a39f0d6f4ededbf973ef530588bbe7c6e2e,62306176204800000,62306176204800000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181525,0x89867d77474a8e9c66aebc6fc815cfd3339106b0ac34d8a6cb0dbb255213146f,8,500000000000000000,128000000000000000000,0x0dd789f5cbfc37e049ba48e2b5dcddc8f1dd0c08d2eefa0c4fc756c222bf820e,63967674236928000,63967674236928000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181527,0xccd4e715655f02c7ac213045ca2f099b2bb7eabd2289d7b2158b05605d7c69b8,8,100000000000000000,25600000000000000000,0x742d5baf53bed514902f7da9875293ce4801d2e43a0026f417410b353aacec0c,61478346424320000,61478346424320000,0x5e1208037fc87750b6c5b355a036a75e4f7ffdcb40d99b32e9fcf1bde9a96bcc,[object Object]
181528,0x181beeaf34e2766507d288fd12ee42addb3da61a494358d6792836ac50a3b54a,8,100000000000000000,25600000000000000000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,63143921319936000,63143921319936000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181531,0x94f950b793f6f883701cd9447a0eee43af2be276621f8a7e8582879b80dd5358,8,100000000000000000,25600000000000000000,0x8a4c2497ce43bfd3e9d821fedc6d7b1533301b7a78e115b61ed267cea3b86dad,63156051247104000,63156051247104000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181532,0x0ebc4e5d6305d89dce273161826e547b7d58874a61927117022980d45740fb73,8,200000000000000000,51200000000000000000,0xb44cd3ab191fed9c99c26683ba0c89c164a2df4f159551649e3fcb8225f52390,63156051247104000,63156051247104000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181533,0x951ca9f94b4557900b80bfdcbbf184577cfc89448225d8359e2aa25cbe4907fc,8,100000000000000000,25600000000000000000,0x84673dc9e829e39d1f207a512fc588c76f888fa2a2ca9dde3dd6421fcb23a987,61909550235648000,61909550235648000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181534,0xf2cf28f40b770861bd03df68189ea5fe9fd56a4ea9d51423b5862ecd0728f914,8,2374269000000000000,607812864000000000000,0xe32c233ef777220410dff4fc483200e593fe14c27ac4aa76cda97327369c485e,64396789284864000,64396789284864000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181537,0x926088272d06e7e33049903b12d17d92f2b4e1f8cd35a44a5edda070f798503e,8,200000000000000000,51200000000000000000,0x5944192e2275bb36b52e42752a3fdd1fa02927c693147645d37e6311b21a1f27,65215433539584000,65215433539584000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181540,0x4a44037d0b9f7bcf85e47f768545504b948960a3d10adf4141aa248e50c701a2,8,100000000000000000,25600000000000000000,0x3486fbb5f2ca3dbf1909624c6e12c80d3e076a4a37366a7be2afaa0064ff4dd5,64386949447680000,64386949447680000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181543,0xf0a3fefd9d9157aa5a3277250ccfd4f43a8c56011347d84777aa3dd3700823a2,8,100000000000000000,25600000000000000000,0x9307c114bc627defcfc1141d9d32ff20087ba8a82f0afd16a3bc46cc4af3a906,62729150791680000,62729150791680000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181545,0x42b193f1775a78ad81504d1146c552e65012ceb16f34511c2ebf177109e2e0f7,8,100000000000000000,25600000000000000000,0x217a480caa0676f5fe3fe8b2b2130818875871c97f3a4685e936a963395cc365,63567021735936000,63567021735936000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181546,0x01307ae23479a2527d77b76d72961ac7661c35a6781912c56067342746cd5892,8,200000000000000000,51200000000000000000,0x9af79deae6139304982077343e586fcd8d74a98d8cfc21e992b8e034ede9278f,62736750870528000,62736750870528000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181547,0x3188adcece05b1823880eff7d93cfe3518ae1ded77310b1f45ad8001408d7ab9,8,100000000000000000,25600000000000000000,0x923d2a3290b5906ee786b1fdcb0ba1826b2f17fdd39adc5d3b7fcf0901ca2490,63566946238464000,63566946238464000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181548,0x94bc24a124376a52fc1f52205fa11f53fa9bf700f20981698b3afd1c111ffca7,8,200000000000000000,51200000000000000000,0xa3eed6f93e7c2eb493f015414ceea9a17b83d1d657cb02b77b652b8eed57da07,63976557772800000,63976557772800000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
181551,0x720ceecafdfb2a5982cfa7d866ddf0c9f393622ccf1060d004ab38e7079a2913,8,200000000000000000,51200000000000000000,0x7da38b07caff233bff5cb184021d0d5270ec8e1e8fbd0485f6c8c24af1f91bac,63137554366464000,63137554366464000,0x081e62fd98dc32add0f383fe3c64c373c809fd20f4ca5e03f75ce305947ac3af,[object Object]
